Дата;Мама;;Мама (PM);Ученики;Другие доходы;;Всего;Универ;бенз;Мобила;iPad;Гулянки;;Другие расходы;
01.04.2014;;;;2100;;;2100;;;;;95;сиги;71|264|1490|140;проезд|книг|кофт|носк
02.04.2014;;;;1100;;;1100;;;;;100;якитория;;
03.04.2014;100;маонез;;;;;100;180;;26;;200;мак;94;майонез|щетка
04.04.2014;;;;;;;0;200;;20;;;;50;проезд
05.04.2014;;;2000;;;;2000;;;6;;95|130;сиги|япоша;30|470;проезд|паяльник
06.04.2014;;;;2200;;;2200;;;12;;50;кола;;
07.04.2014;100;мобила;1000;1100;;;2200;190;;100;;77;сиги;50;проезд
08.04.2014;350;проезд;;;;;350;10;;;;;;350;проезд
09.04.2014;;;;1100;2254;степендия;3354;;;;;100;якитория;150|21;клемы|хлеб
10.04.2014;;;;;;;0;233;;;;95;сиги;;
11.04.2014;;;;;;;0;86;400;;;;;1070;доп по автошколе
12.04.2014;;;;;;;0;50;;100;;95|200;сиги|KFC;1300;bassland
13.04.2014;;;100;;;;100;;;;;100;сиги;889;чайник бабушке
14.04.2014;;;;;;;0;105;;;;100;якитория;100;Полине мобила
15.04.2014;;;;;;;0;80;;;;95|120;сиги|хотдог;150;дротики
16.04.2014;;;;1100;;;1100;190;400;50;;86;сиги;;
17.04.2014;100;мобила;3000;;;;3100;;;100;;15;гажиглка;60;моб. банкинг
18.04.2014;;;;;;;0;140;;;;;;;
19.04.2014;200;ipad;;;150;такси;350;180;;50;200;95|95|46;сиги|сиги|липтон;;
20.04.2014;;;;;;;0;;700;;;70|50;вода|салфетки;;
21.04.2014;;;;;;;0;150;;;;;;;
22.04.2014;100;мобила;;;;;100;69;;100;;200;кружка;;
23.04.2014;;;;1100;;;1100;;;;;300|86;б.ланч|сиги;;
24.04.2014;;;;;;;0;80;;;;;;;
25.04.2014;;;;;;;0;162;;;;85;мак;;
26.04.2014;;;500;;;;500;150;;;;95|270|374;сиги|виски|еда;;
27.04.2014;;;;2400;;;2400;;;;;34;nestea;700|50;кофта|проезд
28.04.2014;;;2000;;;;2000;167;;17;;67|110;nestea|бургер;50;проезд
29.04.2014;;;;2300;;;2300;;;;;58|110;пепси|subway;566|2499;зарядка акум.|джинсы
30.04.2014;;;;;;;0;;;17;;53|400;ашан|кафе;;
