Дата;Мама;;Мама (PM);Ученики;Другие доходы;;Универ;бенз;Моб;Гулянки;;Другие расходы;
01.03.2014;;;200;;;;100;300;38;80|120|39;пиво| автопрятки|iPad;;
02.03.2014;;;;1150;;;;;;;;;
03.03.2014;138;мобильный;;1100;;;;;138;;;;
04.03.2014;;;2000;1000;;;250;;;;;;
05.03.2014;;;;1100;;;85;300;;;;;
06.03.2014;;;;;;;;;;395;с Катей;2500|52|200;куртка|aux|ключи
07.03.2014;2500|1000;куртка|машина;;;300;такси;60;300;;130;мак;;
08.03.2014;;;;;;;;;;40|23;морож|салфетки;600|564;приборка|букет бабушке
09.03.2014;200;телефон;;1500;100;такси;;400;200;90|484;сиги| с Катей;;
10.03.2014;50;телефон;;;;;;;50;;;150;обслуж карты
11.03.2014;;;;;100;прикурил беху;160;;;;;400;ремонт тачки
12.03.2014;;;;1100;2254;степендия;50;;;;;;
13.03.2014;;;;;200;такси;130;300;100;;;;
14.03.2014;;;;;;;;;;;;;
15.03.2014;;;2000;;;;50;;;50|20;еда|iPad;;
16.03.2014;;;;2000;;;;400;;30|50;киткат|насте50р;;
17.03.2014;;;;1100;;;85;;140;300;ростикс;6160|60;эвакуатор|моб банкинг
18.03.2014;;;;;;;;;;;;;
19.03.2014;;;;1100;;;80;;;13;iPad;260;седьмой континент
20.03.2014;;;350;;;;267;;;30;kitkat;50;проездной
21.03.2014;;;;;;;198;;;;;50|25;телеф|проезд.
22.03.2014;;;;;;;55;;;;;;
23.03.2014;;;1200;;;;;400;30;241|108|12;якитория|саб|iPad;;
24.03.2014;;;;;;;200;;20;;;;
25.03.2014;;;1000;;;;;;;85|165|108;сиги|якитория|саб;;
26.03.2014;;;2500;;;;178;;;;;;
27.03.2014;;;;;;;100;;20;130;мак;;
28.03.2014;100;телефон;;;;;40;300;100;95;сиги;;
29.03.2014;;;;;;;150;;;50|85;липтон|менза;;
30.03.2014;;;;1200;;;;;;122|30;кафе|твикс;35;маршрутка
31.03.2014;;;;;;;123;;;;;500|30|550;ситник|проезд|стрижка
